"","target_word","comparison","mean_difference","bootstrap_se","bootstrap_me","lb","ub","significant","pvalue"
"215","648","ah",-0.0275320564454887,0.0467049672027948,0.0993902828686735,-0.126922339314162,0.0718582264231848,0,0.555533403411749
"216","648","ch",-0.0688006890937686,0.0371684668937604,0.0790961788352292,-0.147896867928998,0.0102954897414606,0,0.0641623662716313
"217","6514","ac",0.0364539807131223,0.0306553800957125,0.0652360355148102,-0.0287820548016879,0.101690016227932,0,0.234378907194405
"218","6514","ah",-0.0246883739775512,0.0386435903531654,0.0822353082828504,-0.106923682260402,0.0575469343052992,0,0.522905091265045
"219","6514","ch",-0.0611423546906735,0.0405193582366175,0.086227027187668,-0.147369381878342,0.0250846724969945,0,0.131307340753345
"220","71417","ac",NA,0,0,NA,NA,NA,NA
"221","71417","ah",NA,0,0,NA,NA,NA,NA
"222","71417","ch",NA,0,0,NA,NA,NA,NA
"223","71613","ac",NA,0,0,NA,NA,NA,NA
"224","71613","ah",NA,0,0,NA,NA,NA,NA
"225","71613","ch",NA,0,0,NA,NA,NA,NA
"226","726214","ac",NA,0,0,NA,NA,NA,NA
"227","726214","ah",NA,0,0,NA,NA,NA,NA
"228","726214","ch",NA,0,0,NA,NA,NA,NA
"229","72913","ac",NA,0,0,NA,NA,NA,NA
"230","72913","ah",NA,0,0,NA,NA,NA,NA
"231","72913","ch",NA,0,0,NA,NA,NA,NA
"232","72919","ac",NA,0,0,NA,NA,NA,NA
"233","72919","ah",NA,0,0,NA,NA,NA,NA
"234","72919","ch",NA,0,0,NA,NA,NA,NA
"235","73212","ac",NA,0,0,NA,NA,NA,NA
"236","73212","ah",NA,0,0,NA,NA,NA,NA
"237","73212","ch",NA,0,0,NA,NA,NA,NA
"238","73214","ac",NA,0,0,NA,NA,NA,NA
"239","73214","ah",NA,0,0,NA,NA,NA,NA
"240","73214","ch",NA,0,0,NA,NA,NA,NA
"241","754","ac",0.0260101400112035,0.0302285173767784,0.0643276523401313,-0.0383175123289278,0.0903377923513348,0,0.389540811067322
"242","754","ah",-0.00701273195154499,0.0358896890654636,0.0763748817721407,-0.0833876137236857,0.0693621498205957,0,0.845082287641597
"243","754","ch",-0.0330228719627485,0.0384968444110587,0.0819230262801143,-0.114945898242863,0.0489001543173659,0,0.390998909705514
"244","759","ac",-0.0199218821711838,0.0320112065414839,0.0681212955211159,-0.0880431776922998,0.0481994133499321,0,0.533717751584235
"245","759","ah",-0.0734811892474681,0.0388224024589531,0.0826158285323865,-0.156097017779855,0.00913463928491839,0,0.0583908255528773
"246","759","ch",-0.0535593070762843,0.0348203832195246,0.074099350562804,-0.127658657639088,0.0205400434865197,0,0.124009593865948
"247","813216","ac",NA,0,0,NA,NA,NA,NA
"248","813216","ah",NA,0,0,NA,NA,NA,NA
"249","813216","ch",NA,0,0,NA,NA,NA,NA
"250","815214","ac",NA,0,0,NA,NA,NA,NA
"251","815214","ah",NA,0,0,NA,NA,NA,NA
"252","815214","ch",NA,0,0,NA,NA,NA,NA
"253","81522","ac",NA,0,0,NA,NA,NA,NA
"254","81522","ah",NA,0,0,NA,NA,NA,NA
"255","81522","ch",NA,0,0,NA,NA,NA,NA
"256","82319","ac",NA,0.00580114895710722,0.0123451073909692,NA,NA,NA,NA
"257","82319","ah",NA,0.00921181606315076,0.0196031612713767,NA,NA,NA,NA
"258","82319","ch",NA,0.015012965020258,0.0319482686623459,NA,NA,NA,NA
"259","823213","ac",NA,0,0,NA,NA,NA,NA
"260","823213","ah",NA,0,0,NA,NA,NA,NA
"261","823213","ch",NA,0,0,NA,NA,NA,NA
"262","82419","ac",NA,0,0,NA,NA,NA,NA
"263","82419","ah",NA,0,0,NA,NA,NA,NA
"264","82419","ch",NA,0,0,NA,NA,NA,NA
"265","8292","ac",0.07292276378721,0.0356095101647349,0.0757786483977258,-0.00285588461051579,0.148701412184936,0,0.0405751717082623
"266","8292","ah",0.0293315409682691,0.0420483731020639,0.0894808399850791,-0.06014929901681,0.118812380953348,0,0.485448270835433
"267","8292","ch",-0.0435912228189409,0.03112476335564,0.0662349043241051,-0.109826127143046,0.0226436815051642,0,0.161354108652658
"268","848","ac",-0.0365157961365185,0.0338291389722118,0.0719899379663968,-0.108505734102915,0.0354741418298783,0,0.280401237926146
"269","848","ah",-0.0212669639484375,0.0344366802840128,0.0732828133595454,-0.0945497773079829,0.0520158494111079,0,0.536860676582456
"270","848","ch",0.015248832188081,0.0290513545303524,0.0618225965549348,-0.0465737643668538,0.0770714287430158,0,0.599658065108738
"271","885","ac",-0.0075480991974473,0.0352783788986469,0.0750739860850375,-0.0826220852824848,0.0675258868875902,0,0.830579637328289
